gene,alias
A1BG,A1B
A1BG,ABG
A1BG,GAB
A1BG,HYST2477
A2M,A2MD
A2M,CPAMD5
A2M,FWP007
A2M,S863-7
A2MP1,A2MP
"NAT1",AAC1
"NAT1",MNAT
"NAT1","NAT-1"
"NAT1","NATI"
"NAT2",AAC2
"NAT2","NAT-2"
"NAT2",PNAT
"NATP",AACP
"NATP","NATP1"
SERPINA3,AACT
SERPINA3,ACT
SERPINA3,GIG24
SERPINA3,GIG25
AADAC,CES5A1
AADAC,DAC
AANAT,DSPS
AANAT,SNAT
AARS1,AARS
AARS1,CMT2N
AARS1,DEE29
AARS1,EIEE29
AAVS1,AAV
ABAT,GABA-AT
ABAT,GABAT
ABAT,NPD009
ABCA1,ABC-1
ABCA1,ABC1
ABCA1,CERP
ABCA1,HDLCQTL13
ABCA1,HDLDT1
ABCA1,HPALP1
ABCA1,TGD
ABCA2,ABC2
ABCA2,IDPOGSA
ABCA3,ABC-C
ABCA3,ABC3
ABCA3,EST111653
ABCA3,LBM180
ABCA3,SMDP3
ABCB7,ABC7
ABCB7,ASAT
ABCB7,Atm1p
ABCB7,EST140535
ABCF1,ABC27
ABCF1,ABC50
ABCA4,ABC10
ABCA4,ABCR
ABCA4,ARMD2
ABCA4,CORD3
ABCA4,FFM
ABCA4,RMP
ABCA4,RP19
ABCA4,STGD
ABCA4,STGD1
ABL1,ABL
ABL1,BCR-ABL
ABL1,CHDSKM
ABL1,JTK7
ABL1,bcr/abl
ABL1,c-ABL
ABL1,c-ABL1
ABL1,p150
ABL1,v-abl
AOC1,ABP
AOC1,ABP1
AOC1,DAO
AOC1,DAO1
AOC1,KAO
ABL2,ABLL
ABL2,ARG
ABO,A3GALNT
ABO,A3GALT1
ABO,GTB
ABO,"NAGAT"
ABR,MDB
ACAA1,ACAA
ACAA1,PTHIO
ACAA1,THIO
ACACA,ACAC
ACACA,ACACAD
ACACA,ACC
ACACA,ACC1
ACACA,ACCA
ACACB,ACC-beta
ACACB,ACC2
ACACB,ACCB
ACACB,HACC275
ACADL,ACAD4
ACADL,LCAD
ACADM,ACAD1
ACADM,MCAD
ACADM,MCADH
ACADS,ACAD3
ACADS,SCAD
ACADSB,2-MEBCAD
ACADSB,ACAD7
ACADSB,SBCAD
ACADVL,ACAD6
ACADVL,LCACD
ACADVL,VLCAD
ACAT1,ACAT
ACAT1,MAT
ACAT1,T2
ACAT1,THIL
ASIC2,ACCN
ASIC2,ACCN1
ASIC2,ASIC2a
ASIC2,BNC1
ASIC2,BNaC1
ASIC2,MDEG
ASIC2,hBNaC1
ASIC1,ACCN2
ASIC1,ASIC
ASIC1,BNaC2
ACHE,ACEE
ACHE,ARACHE
ACHE,N-ACHE
ACHE,YT
ACLY,ACL
ACLY,ATPCL
ACLY,CLATP
ACO1,ACONS
ACO1,HEL60
ACO1,IREB1
ACO1,IREBP
ACO1,IREBP1
ACO1,IRP1
ACO2,ACONM
ACO2,HEL-S-284
ACO2,ICRD
ACO2,OCA8
ACO2,OPA9
